study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Thorogood et al., (1987); 80;U.K.;M/F;1550 ;106 ; 3.5;1198 ;122.6 ; 3.5;vegetarian;ldl_cholesterol
Nieman et al., (1989); 7;U.S.;F;19 ;121.4 ; 7.4;12 ;158.2 ; 10.4;vegetarian;ldl_cholesterol
Nieman et al., (1989); 8;U.S.;F;23 ;129.2 ; 7.4;13 ;157.8 ; 9.7;vegetarian;ldl_cholesterol
Thorogood et al., (1990); 9;U.K.;M;26 ;121.4 ; 5.8;26 ;136.1 ; 8.1;vegetarian;ldl_cholesterol
Thorogood et al., (1990); 9;U.K.;F;26 ;123.4 ; 5.8;26 ;146.6 ; 7;vegetarian;ldl_cholesterol
Reddy et al., (1992); 10;U.K.;F;40 ;97.1 ;  44.7;22 ;118.7 ; 8.6;vegetarian;ldl_cholesterol
Supawan et al., (1992); 11;Tailandia;M;64 ;84.0 ; 2.1;32 ;131.0 ; 2.8;vegetarian;ldl_cholesterol
Supawan et al., (1992); 11;Tailandia;F;68 ;89.0 ; 1.6;36 ;119.0 ; 2.3;vegetarian;ldl_cholesterol
Melby et al., (1994); 14;U.S.;M/F;66 ;119.9 ; 3.9;45 ;139.2 ; 7.7;vegetarian;ldl_cholesterol
Krajcovicova et al., (1994); 15;Slovak Rep.;M;31 ;100.9 ; 5.0;24 ;131.9 ; 5.4;vegetarian;ldl_cholesterol
Krajcovicova et al., (1994); 15;Slovak Rep.;F;28 ;92.4 ; 4.6;26 ;127.6 ; 4.6;vegetarian;ldl_cholesterol
Krajcovicova et al., (1996); 17;Slovak Rep.;M;42 ;105.6 ; 3.5;29 ;134.6 ; 4.3;vegetarian;ldl_cholesterol
Krajcovicova et al., (1996); 17;Slovak Rep.;F;39 ;106.3 ; 3.9;33 ;129.5 ; 3.1;vegetarian;ldl_cholesterol
Williams et al., (1997); 18;U.S.;M;199 ;119.1 ; 35.2;7054 ;124.5 ; 31.3;vegetarian;ldl_cholesterol
Williams et al., (1997); 18;U.S.;F;152 ;103.2 ; 25.5;1837 ;107.9 ; 29.4;vegetarian;ldl_cholesterol
Harman et al., (1998); 19;New Zeeland;M;12 ;123.7 ; 27.1;11 ;135.3 ; 38.7;vegetarian;ldl_cholesterol
Harman et al., (1998); 19;New Zeeland;F;12 ;116.0 ; 38.7;12 ;135.3 ; 34.8;vegetarian;ldl_cholesterol
Li et al., (1999); 84;Australia;F;50 ;87.4 ; 2.7;24 ;101.3 ; 32.5;vegetarian;ldl_cholesterol
Korpela et al., (1999); 21;Finland;M/F;11 ;104.0 ; 25.9;7 ;128.4 ; 26.7;vegetarian;ldl_cholesterol
Thomas et al., (1999); 22;U.K.;F;578 ;106.3 ; 2.7;376 ;119.9 ; 2.7;vegetarian;ldl_cholesterol
